layer,head,query,key,overlap,baseline_loss,intervened_loss,delta_loss,n_intervened,context_length
0,10,761,727,0.75,12.5,12.5,0.0,1,1024
0,11,554,552,0.75,12.5,12.5,0.0,1,1024
0,10,747,740,0.699999988079071,12.5,12.5,0.0,1,1024
0,23,971,936,0.6914893388748169,12.5,12.5,0.0,1,1024
0,23,726,94,0.6904761791229248,12.5,12.5,0.0,1,1024
0,23,813,438,0.6830986142158508,12.5,12.5,0.0,1,1024
0,4,720,707,0.6759259104728699,12.5,12.5,0.0,1,1024
0,11,934,932,0.6666666865348816,12.5,12.5,0.0,1,1024
0,23,679,550,0.6666666865348816,12.5,12.5,0.0,1,1024
0,10,637,635,0.6666666865348816,12.5,12.5,0.0,1,1024
0,23,837,686,0.6666666865348816,12.5,12.5,0.0,1,1024
0,14,911,232,0.6610169410705566,12.5,12.5,0.0,1,1024
0,14,906,672,0.6610169410705566,12.5,12.5,0.0,1,1024
0,0,900,823,0.6565656661987305,12.5,12.5,0.0,1,1024
0,20,869,475,0.6559139490127563,12.5,12.5,0.0,1,1024
0,27,922,363,0.6557376980781555,12.5,12.5,0.0,1,1024
0,23,672,254,0.6516854166984558,12.5,12.5,0.0,1,1024
0,23,707,437,0.6470588445663452,12.5,12.5,0.0,1,1024
0,10,792,779,0.6470588445663452,12.5,12.5,0.0,1,1024
0,10,741,738,0.6470588445663452,12.5,12.5,0.0,1,1024
0,10,741,735,0.6470588445663452,12.5,12.5,0.0,1,1024
0,13,702,692,0.6428571343421936,12.5,12.5,0.0,1,1024
0,10,921,911,0.6428571343421936,12.5,12.5,0.0,1,1024
0,18,845,774,0.6424580812454224,12.5,12.5,0.0,1,1024
0,23,973,130,0.6395348906517029,12.5,12.5,0.0,1,1024
0,1,548,530,0.637499988079071,12.5,12.5,0.0,1,1024
0,15,519,395,0.6363636255264282,12.5,12.5,0.0,1,1024
0,23,601,510,0.6323529481887817,12.5,12.5,0.0,1,1024
0,7,840,740,0.6321243643760681,12.5,12.5,0.0,1,1024
0,13,669,638,0.6292135119438171,12.5,12.5,0.0,1,1024
0,23,900,823,0.6288659572601318,12.5,12.5,0.0,1,1024
0,21,555,519,0.6283186078071594,12.5,12.5,0.0,1,1024
0,9,861,803,0.6269841194152832,12.5,12.5,0.0,1,1024
0,0,822,814,0.6267605423927307,12.5,12.5,0.0,1,1024
0,28,837,550,0.6264367699623108,12.5,12.5,0.0,1,1024
0,12,1012,969,0.625,12.5,12.5,0.0,1,1024
0,6,1011,787,0.625,12.5,12.5,0.0,1,1024
0,28,664,633,0.6240000128746033,12.5,12.5,0.0,1,1024
0,24,683,662,0.6229507923126221,12.5,12.5,0.0,1,1024
0,23,713,681,0.6229507923126221,12.5,12.5,0.0,1,1024
0,9,795,660,0.6226415038108826,12.5,12.5,0.0,1,1024
0,17,753,719,0.6224489808082581,12.5,12.5,0.0,1,1024
0,15,754,615,0.6220472455024719,12.5,12.5,0.0,1,1024
0,28,577,528,0.6213592290878296,12.5,12.5,0.0,1,1024
0,27,908,886,0.6206896305084229,12.5,12.5,0.0,1,1024
0,28,684,677,0.6204379796981812,12.5,12.5,0.0,1,1024
0,26,886,878,0.6204081773757935,12.5,12.5,0.0,1,1024
0,26,578,427,0.6193548440933228,12.5,12.5,0.0,1,1024
0,28,558,536,0.6168224215507507,12.5,12.5,0.0,1,1024
0,18,854,846,0.6153846383094788,12.5,12.5,0.0,1,1024
0,0,858,855,0.6153846383094788,12.5,12.5,0.0,1,1024
0,27,868,850,0.6153846383094788,12.5,12.5,0.0,1,1024
0,28,709,581,0.6153846383094788,12.5,12.5,0.0,1,1024
0,23,933,792,0.6132075190544128,12.5,12.5,0.0,1,1024
0,24,844,840,0.6129032373428345,12.5,12.5,0.0,1,1024
0,30,836,709,0.6124030947685242,12.5,12.5,0.0,1,1024
0,30,836,821,0.6124030947685242,12.5,12.5,0.0,1,1024
0,2,906,856,0.6111111044883728,12.5,12.5,0.0,1,1024
0,10,1008,1001,0.6111111044883728,12.5,12.5,0.0,1,1024
0,13,934,893,0.6111111044883728,12.5,12.5,0.0,1,1024
0,24,774,772,0.6111111044883728,12.5,12.5,0.0,1,1024
0,1,961,905,0.6100000143051147,12.5,12.5,0.0,1,1024
0,30,990,865,0.6091370582580566,12.5,12.5,0.0,1,1024
0,18,739,705,0.6082473993301392,12.5,12.5,0.0,1,1024
16,4,568,0,1.0,12.5,12.5,0.0,1,1024
16,7,557,0,1.0,12.5,12.5,0.0,1,1024
16,21,946,0,1.0,12.5,12.5,0.0,1,1024
16,15,514,0,1.0,12.5,12.5,0.0,1,1024
16,8,948,0,1.0,12.5,12.5,0.0,1,1024
16,17,828,0,1.0,12.5,12.5,0.0,1,1024
16,14,595,0,1.0,12.5,12.5,0.0,1,1024
16,27,660,59,1.0,12.5,12.5,0.0,1,1024
